medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
B16F7A8DAF231C5905DDEE16EECF9D3E,2FACC7E64ED0EB68638820EB126CC00C,CMT,1,N,2013-08-05 02:59:53,2013-08-05 03:01:19,1,85,0.4,-73.954193,40.778614,-73.955261,40.783192
B16F7A8DAF231C5905DDEE16EECF9D3E,2FACC7E64ED0EB68638820EB126CC00C,CMT,1,N,2013-08-05 02:59:53,2013-08-05 03:01:19,1,99,0.9,-79.954193,40.778614,-73.955261,40.789999
5C811E599E288BF360A3168253AE2E75,813BB5E925D8CB626091E854692A8461,CMT,2,N,2013-08-05 12:04:30,2013-08-05 12:48:44,1,2654,19.6,-74.008522,40.734146,-73.779594,40.645271
670501134C86B2DA67D4BD7D05C9444E,0D9A7B20D5CE5E86D5117C1C6B96A419,CMT,1,N,2013-08-04 01:51:35,2013-08-04 01:54:59,1,203,0.7,-73.990593,40.750839,-73.997604,40.756672
B9C36A5E217A40659BDD63CBCBD1F273,2DDCB0CCDAB00D0A197D574A0109EDE1,CMT,1,N,2013-08-04 12:21:18,2013-08-04 12:22:41,1,83,0.4,-73.969154,40.754292,-73.973763,40.751511
FA5322C14873268568DE6B66566CDBD5,BA4D880C654B34679BA9AE1BDD36E073,CMT,1,N,2013-08-04 22:40:08,2013-08-04 22:47:01,1,412,1.6,-73.993111,40.722507,-73.978989,40.740669
B45D01B7B5A22CFA218DEBC41C36C152,93FDA256FE1506753A2E8F8249CEB3EA,CMT,1,N,2013-08-04 22:55:01,2013-08-04 23:09:32,1,871,3.1,-73.992561,40.758701,-73.98394,40.725704
C528B610CF28901CA365E4B895AC8FE2,B0174E40AE90C811C397744719DA9B00,CMT,1,N,2013-08-04 18:41:03,2013-08-04 19:04:44,3,1420,5.6,-73.976303,40.728794,-73.929504,40.68343
3F3B3B457428280186D121BE70A9699F,E5B930B7467003BBA30AC2537B782EA4,CMT,1,N,2013-08-04 23:31:41,2013-08-04 23:40:30,1,528,2.7,-73.981529,40.720661,-73.98185,40.746872
C843DBAADAE3D5E01AB66B116FF29193,183DC119668B3507D4C764DC543B0569,CMT,1,N,2013-08-04 17:11:52,2013-08-04 17:46:52,2,2099,11,-73.874664,40.77393,-73.983055,40.775658
1A8B31E8D8962A7DCA0DAC99BC65FBE0,9EC45613F39F9EB0044B184B5B4E01D0,CMT,1,N,2013-08-04 23:47:21,2013-08-04 23:52:46,1,325,1.5,-73.991829,40.749981,-73.976707,40.766018
C4C347414D5C906720807BFC30CF13BA,B29E3D3856D783079E0A0CBCC0106CAB,CMT,1,N,2013-08-04 02:35:04,2013-08-04 02:41:11,4,366,2.1,-73.951523,40.723347,-73.956322,40.747288
B27F3293854DAA2BF54E2953030E1A36,BC1785234EF0F1D6A3CDE35BF4F83DCB,CMT,1,N,2013-08-04 02:49:35,2013-08-04 02:53:01,1,206,0.8,-73.958244,40.717144,-73.966499,40.711357
9003706012671C700A077F15F98E192D,7FC55BB944EE461519E3F83C52919766,CMT,1,N,2013-08-04 11:18:38,2013-08-04 11:29:01,1,622,3.6,-73.966217,40.794613,-73.99147,40.749905
E1E0B45B68431E11079E0F33ADEB6C1B,76F44762DF2F1E84C098E2C6FE751F22,CMT,1,N,2013-08-04 03:12:59,2013-08-04 03:21:25,3,505,3.1,-73.987206,40.747971,-73.953003,40.773228
FFBFCA8A2DE362A445D7375BD5B64FD6,CDC6FC837A78E55F3671549EE26EC54B,CMT,1,N,2013-08-04 15:21:09,2013-08-04 15:34:04,2,774,3.3,-74.010353,40.671997,-74.015884,40.707554
504380CB724C86E02337BD283BA3CECE,4F184164DC531A7B726875C08362CBE7,CMT,1,N,2013-08-04 02:00:30,2013-08-04 02:22:25,1,1314,3.2,-73.972343,40.756916,-73.982147,40.751968
C0D5941A4A93777E96210EBD9DCAEC95,165DEDC2F90EAD11270D579758145D4B,CMT,1,N,2013-08-04 20:13:43,2013-08-04 20:31:24,1,1061,3.8,-73.9907,40.756245,-73.948494,40.783108
C2CD022EDE5A76A2576B953FD26A6875,508B5CEB07158E68DBE984AD69C67706,CMT,1,N,2013-08-04 12:27:10,2013-08-04 12:32:19,1,309,1.3,-73.996269,40.744144,-73.998878,40.732292
FB8B300F1C70AFE25EE5D22DE429A210,A0217EB74C53B9B0E7BCCCE364E9A28D,CMT,1,Y,2013-08-04 07:42:52,2013-08-04 07:55:12,1,739,5.6,-73.983566,40.74416,-73.895584,40.729424
233969DED876F80ADFE337164C42FDCD,F4E05D7A8D4880A45B9A311808B5BB7A,CMT,1,N,2013-08-04 07:51:13,2013-08-04 08:10:02,1,1128,5.3,-73.983086,40.693508,-73.953445,40.642342
4A17962CB3E106E57D60793A789FE48E,6B9B4670E8E0F1E38E8631D33CFAAFE5,CMT,1,N,2013-08-04 07:56:21,2013-08-04 08:00:16,2,234,0.4,-74.000496,40.718666,-73.996948,40.715172
5803D6EAD49AEAA82063A7DDCE35CD04,7AD46141AC71E2877BE0439D93572649,CMT,1,N,2013-08-04 23:45:49,2013-08-04 23:55:01,3,552,2.6,-73.99279,40.730152,-73.985146,40.757915
2E35E767EBF19DFED9CCB59C5C7C1087,BE3B0B9695D83F5964F16728D972821F,CMT,1,N,2013-08-04 12:54:55,2013-08-04 13:00:48,2,353,1,-73.989197,40.764542,-73.998062,40.765671
79616C285FA42A86698374E546EE4D57,8F7AF232A0070B596B2814B75B72E2FB,CMT,1,N,2013-08-04 15:33:41,2013-08-04 15:43:53,1,611,1.4,-74.003662,40.743393,-73.991478,40.730103
39571F1285E7DAC61A10D6830AC2D9B0,743E82308F4D61A61FB7B807BDE46741,CMT,1,N,2013-08-04 11:18:19,2013-08-04 11:23:03,1,284,0.9,-73.966949,40.757496,-73.967583,40.765732
8AADE866F4F6808B5F06E47492820DBF,BA39681C30D9B974B66742F425C5A7E6,CMT,1,N,2013-08-04 13:08:51,2013-08-04 13:15:22,1,390,1.2,-73.986397,40.751705,-73.972847,40.761471
A0432BA6B2E7C5B7DD23179092E551DB,576E56766CADA3BDE0E408D02DDCE8E1,CMT,1,N,2013-08-04 22:16:26,2013-08-04 22:25:57,1,570,2,-74.003883,40.741749,-74.005074,40.7192
F1EF8290A54338B1396DD98E38E09143,0FDDEFAFF6FC38BD632B6DDED47DA618,CMT,1,N,2013-08-04 23:22:31,2013-08-04 23:25:39,1,188,0.7,-73.993965,40.751682,-73.991364,40.760422
2CCB6C8BC529CF38EB7AAAA3C8B3A427,910A372550A59A1A226AF8E5C77E5F38,VTS,1,,2013-08-07 10:58:00,2013-08-07 11:13:00,6,900,1.15,-73.988365,40.731407,-73.992775,40.742981
0FAF0CC8A44ED8AE5C5CB6C687B5BAFA,ECAC829311F705D7038C363A1CB4B511,VTS,1,,2013-08-07 11:11:00,2013-08-07 11:20:00,1,540,0.85,-73.979828,40.754807,-73.990372,40.750751
3382564F2E07986E142298CE1B06C076,380927D0DF5268B118C093E71FF04156,VTS,1,,2013-08-07 12:24:00,2013-08-07 12:28:00,1,240,0.66,-73.965927,40.767838,-73.97171,40.760231
F9C77A4243E0FC0766C3033B11CCB466,B1F7D13178ACE2779FFFE2C25A3F633E,VTS,1,,2013-08-07 12:21:00,2013-08-07 12:33:00,1,720,1.55,-73.975563,40.748905,-73.99015,40.740902
AA84852A1B5D79201A8027EB828BF546,A671FA5AF7A37CE619E4F152EC7D80A4,VTS,1,,2013-08-07 15:08:00,2013-08-07 15:33:00,5,1500,10.75,-73.975975,40.751678,-73.870811,40.774067
16586DE4A6979201C5E529E782219D53,46ECAEF9864CD0DB75DEE0BBF7907945,VTS,1,,2013-08-07 16:12:00,2013-08-07 16:16:00,1,240,0.24,-73.954842,40.767132,-73.953812,40.764385
17611511BDBE9D549FA200CFF09B1980,FF9E57FA4D727BDF69A64CAC9F5D1E8D,VTS,1,,2013-08-07 16:06:00,2013-08-07 16:33:00,1,1620,3.23,-73.992805,40.74279,-74.005165,40.718506
E19C7F460BA01C140E4AC45ABDF70699,533D4908BB1C809D4B13EE5B2957B584,VTS,1,,2013-08-07 19:00:00,2013-08-07 19:08:00,1,480,2.5,-73.940193,40.751148,-73.91098,40.780594
ECB0DFE145A81558D53AA1D3629D4257,E6052708C75B645DA8D44445192272BA,VTS,1,,2013-08-07 19:38:00,2013-08-07 20:06:00,2,1680,5.89,-73.988167,40.717464,-73.938606,40.658566
E20585D090C0C28E2A3B0C6DFBA678E9,16B9285E8232CFB9AFBB949A1F0F75B6,VTS,1,,2013-08-07 20:36:00,2013-08-07 20:46:00,1,600,1.73,-73.997925,40.744236,-73.998138,40.725094
B33D3A4EECF3E2617C5AA7AF0D1FEABE,6F2184ACDAA95090EA90A03C908408E0,VTS,1,,2013-08-07 21:58:00,2013-08-07 22:18:00,1,1200,4.33,-73.994072,40.7514,-73.946091,40.780445
0B1C85B5C2B3B3DA21D2EFA36941FCFF,7BF2BE93BA187558CD36702910D65BB4,VTS,1,,2013-08-07 23:27:00,2013-08-07 23:36:00,2,540,2.79,-73.981667,40.740883,-73.956367,40.747101
