medallion,name,type,current_status,DMV_license_plate,vehicle_VIN_number,vehicle_type,model_year,medallion_type,agent_number,agent_name,agent_telephone_number,agent_website,agent_address,last_updated_date,last_updated_time
DC4EB59ED25BB5C96EBA9FDA2E33C6A7,"SINGH,NIRMAL",MEDALLION,CUR,1G30H,JTDZN3EU0EJ007599,HYB,2014,OWNER MUST DRIVE,1,TIRU CABS ,(718)937-3226,,10 METROTECH NEW YORK NY,1/31/2015,13:20
E19C7F460BA01C140E4AC45ABDF70699,LIANG TAXI INC,MEDALLION,CUR,6L23A,4T1BD1FK6EU124023,HYB,2014,NAMED DRIVER,1,TIRU CABS ,(718)937-1402,,10 METROTECH NEW YORK NY,1/31/2015,13:20
E20585D090C0C28E2A3B0C6DFBA678E9,SHULAMIT HACKING CORP.,MEDALLION,CUR,6K36B,JTDZN3EU2C3145789,HYB,2012,NAMED DRIVER,213,J T L MANAGEMENT INC,(718)392-7000,,36-16 SKILLMAN AVENUE LIC NY 11101,1/31/2015,13:20
BDAB74F6D244EB1E13BC0E8585AA751D,FATEHGARH SHAIB TAXI LLC,MEDALLION,CUR,7F96J,1FMCU4K32BKB48931,HYB,2011,OWNER MUST DRIVE,1,TIRU CABS ,(718)937-3242,,10 METROTECH NEW YORK NY,1/31/2015,13:20
ECB0DFE145A81558D53AA1D3629D4257,"HU, RICKY C.",MEDALLION,CUR,2D92,1N4AL3AP8DC913947,LV1,2013,NAMED DRIVER,17,521 WEST 21ST ST MANAGEMENT CORP,(212)665-4900,,415 WEST  127 STREET NEW YORK NY 10027,1/31/2015,13:20
0B1C85B5C2B3B3DA21D2EFA36941FCFF,NEA ASSA TAXI INC,MEDALLION,CUR,4G83A,1FMCU49H38KB53078,HYB,2008,NAMED DRIVER,1,TIRU CABS ,(718)937-1251,,10 METROTECH NEW YORK NY,1/31/2015,13:20
39571F1285E7DAC61A10D6830AC2D9B0,TOPS CAB CORP,MEDALLION,CUR,8P94A,3N8CM0JT6EK699536,LV1,2014,NAMED DRIVER,3,CAB MANAGEMENT CORP,(718)937-8668,,27-34 JACKSON AVENUE LIC NY 11101,1/31/2015,13:20
4930F7CB01AB0B737123E3A7027903B7,"SINGH,KULDIP",MEDALLION,CUR,9E45C,JTDZN3EU8D3224336,HYB,2013,OWNER MUST DRIVE,1,TIRU CABS ,(718)937-3206,,10 METROTECH NEW YORK NY,1/31/2015,13:20
4A17962CB3E106E57D60793A789FE48E,SCARLET PAINTED CUP LLC,MEDALLION,CUR,5P43E,1FMCU49389KC21574,HYB,2009,NAMED DRIVER,201,GREEN APPLE MANAGEMENT CORP,(718)361-5555,,34-20   31 STREET LIC NY 11106,1/31/2015,13:20
51B267141807D0261EEB1844D2A78087,ASHLEY CAB CORP.,MEDALLION,CUR,3N95H,4T1BD1FK4CU024421,HYB,2012,NAMED DRIVER,307,TAXIFLEET MANAGEMENT LLC,(718)779-5000,,54-11 QUEENS BOULEVARD WOODSIDE NY 11377,1/31/2015,13:20
